player_Rk,player_Pk,player_Tm,player_player,player_college,player_Yrs,player_G,player_MP,player_PTS,player_TRB,player_AST,player_FG_percent,player__3P_percent,player_FT_percent,player_WS,player_WSdivideby48,player_BPM,player_VOBP
1,1,CLE,Andrew Wiggins,Kansas,6,454,35.8,19.7,4.4,2.3,0.441,0.332,0.732,15,0.044,-1.9,0.2
2,2,MIL,Jabari Parker,Duke,6,285,29,14.9,5.7,2.1,0.493,0.324,0.74,13.2,0.077,-0.8,2.4
3,3,PHI,Joel Embiid,Kansas,4,209,30.4,23.9,11.5,3.1,0.48,0.319,0.793,22.8,0.172,4.3,10.1
4,4,ORL,Aaron Gordon,Arizona,6,403,28.6,12.8,6.4,2.4,0.448,0.319,0.701,21.7,0.09,0,5.7
5,5,UTA,Dante Exum,,5,239,18.5,5.7,1.8,2.1,0.407,0.308,0.766,3.1,0.034,-3.3,-1.5
6,6,BOS,Marcus Smart,Oklahoma State,6,401,28.9,9.9,3.6,4.1,0.373,0.318,0.775,20.7,0.086,-0.3,5
7,7,LAL,Julius Randle,Kentucky,6,375,29.2,16.1,9,2.8,0.493,0.295,0.724,20.5,0.09,-0.5,4.1
8,8,SAC,Nik Stauskas,Michigan,5,335,19.9,6.8,2.1,1.5,0.389,0.353,0.814,3.8,0.028,-3,-1.7
9,9,CHH,Noah Vonleh,Indiana,6,335,16.9,5,5.2,0.8,0.46,0.31,0.691,9.3,0.079,-2.4,-0.5
10,10,PHI,Elfrid Payton,LA-Lafayette,6,387,29.3,11,4.4,6.6,0.452,0.289,0.625,14.9,0.063,-0.5,4.3
11,11,DEN,Doug McDermott,Creighton,6,410,19.9,8.2,2.2,0.8,0.465,0.412,0.825,13.9,0.082,-2,-0.1
12,12,ORL,Dario Šarić,,4,306,26.5,12.2,6.2,2.1,0.441,0.358,0.837,14.7,0.087,-0.7,2.6
13,13,MIN,Zach LaVine,UCLA,6,353,30.8,17.7,3.6,3.6,0.447,0.375,0.819,12,0.053,-0.6,3.8
14,14,PHO,T.J. Warren,NC State,6,328,28.8,15.5,4.1,1.2,0.507,0.361,0.779,19.5,0.099,-0.2,4.3
15,15,ATL,Adreian Payne,Michigan State,4,107,13.1,4,2.9,0.6,0.406,0.254,0.68,-0.6,-0.019,-5.9,-1.4
16,16,CHI,Jusuf Nurkić,,6,318,23.1,11.8,8.1,2,0.492,0.096,0.673,17.3,0.113,0.3,4.2
17,17,BOS,James Young,Kentucky,4,95,8.5,2.3,1,0.3,0.367,0.277,0.563,0.8,0.046,-3.4,-0.3
18,18,PHO,Tyler Ennis,Syracuse,4,186,12.6,4.2,1.3,1.9,0.419,0.317,0.768,1.3,0.026,-3.4,-0.8
19,19,CHI,Gary Harris,Michigan State,6,368,29,12.1,2.6,2.1,0.454,0.36,0.803,17.9,0.081,-0.9,2.9
20,20,TOR,Bruno Caboclo,,6,99,12.7,4.3,2.6,0.7,0.4,0.316,0.846,1.5,0.058,-2.5,-0.2
21,21,OKC,Mitch McGary,Michigan,2,52,10.7,4.4,3.5,0.3,0.527,0,0.58,1.3,0.108,-2.6,-0.1
22,22,MEM,Jordan Adams,UCLA,2,32,8.2,3.2,0.9,0.6,0.402,0.385,0.607,0.4,0.07,1.7,0.2
23,23,UTA,Rodney Hood,Duke,6,341,27.3,12.5,2.9,1.9,0.426,0.372,0.839,17.1,0.088,-0.5,3.4
24,24,CHH,Shabazz Napier,UConn,6,345,17.4,7.1,1.9,2.5,0.397,0.345,0.815,8.1,0.065,-0.7,2
25,25,HOU,Clint Capela,,6,334,26,12.2,9.7,1,0.634,0,0.526,36.4,0.201,1.9,8.5
26,26,MIA,P.J. Hairston,UNC,2,111,18,6,2.4,0.5,0.343,0.295,0.81,0.9,0.021,-3.9,-1
27,27,PHO,Bogdan Bogdanović,,3,209,28.2,13.5,3.2,3.5,0.434,0.374,0.806,8.7,0.071,-0.6,2.2
28,28,LAC,C.J. Wilcox,Washington,3,66,5.7,2,0.5,0.5,0.37,0.333,0.813,0.1,0.007,-4.3,-0.2
29,29,OKC,Josh Huestis,Stanford,3,76,14.1,2.5,2.4,0.3,0.346,0.312,0.24,0.7,0.03,-3.5,-0.4
30,30,SAS,Kyle Anderson,UCLA,6,367,19.7,5.4,4,2,0.488,0.311,0.699,17.9,0.119,1.4,6.3
31,31,MIL,Damien Inglis,,1,20,7.8,1.8,1.6,0.5,0.351,0.231,0.875,-0.1,-0.024,-5.6,-0.1
32,32,PHI,K.J. McDaniels,Clemson,3,148,14.1,5.3,2.2,0.6,0.412,0.29,0.776,1.3,0.03,-2.8,-0.4
33,33,CLE,Joe Harris,Virginia,6,331,24.3,10.4,3.1,1.6,0.479,0.426,0.779,14.7,0.088,-0.7,2.5
34,34,NYK,Cleanthony Early,Wichita State,2,56,14.3,4.3,2.2,0.8,0.346,0.263,0.75,-0.6,-0.039,-5.9,-0.8
35,35,UTA,Jarnell Stokes,Tennessee,3,28,5.4,2.4,1.4,0.3,0.581,,0.531,0.6,0.202,0.1,0.1
36,36,MIL,Johnny O'Bryant,LSU,4,147,11.5,3.5,2.4,0.5,0.402,0.36,0.663,0.2,0.006,-6.2,-1.8
37,37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,
38,38,DET,Spencer Dinwiddie,Colorado,6,317,25.7,12.9,2.8,5,0.41,0.318,0.793,18.3,0.108,0.4,4.8
39,39,PHI,Jerami Grant,Syracuse,6,454,24.5,9.3,3.9,1.1,0.465,0.347,0.669,22.6,0.098,-0.9,3.1
40,40,MIN,Glenn Robinson,Michigan,6,281,17.5,6,2.6,0.8,0.459,0.373,0.768,7.6,0.074,-1.5,0.6
41,41,DEN,Nikola Jokić,,5,381,29,17,9.6,5.5,0.524,0.338,0.826,48.7,0.212,7.1,25.4
42,42,HOU,Nick Johnson,Arizona,1,28,9.4,2.6,1.4,0.4,0.347,0.238,0.68,-0.1,-0.02,-6.5,-0.3
43,43,ATL,Edy Tavares,,2,13,7.8,2.5,2.5,0.3,0.625,,0.273,0.2,0.118,-0.4,0
44,44,MIN,Markel Brown,Oklahoma State,3,113,15.9,5.2,2.1,1.2,0.38,0.295,0.781,1.1,0.029,-2.9,-0.4
45,45,CHH,Dwight Powell,Stanford,6,371,18.7,7.7,4.6,1,0.563,0.293,0.739,26,0.179,1.4,6.1
46,46,WAS,Jordan Clarkson,Missouri,6,453,27,14.8,3.1,2.6,0.446,0.342,0.818,13.9,0.055,-0.7,3.9
47,47,PHI,Russ Smith,Louisville,2,27,4.9,2,0.6,0.7,0.319,0.188,0.769,-0.2,-0.068,-5.1,-0.1
48,48,MIL,Lamar Patterson,Pitt,2,40,10.9,2.3,1.4,1.1,0.326,0.236,0.72,0.1,0.006,-5.7,-0.4
49,49,CHI,Cameron Bairstow,New Mexico,2,36,4.6,1.2,1,0.2,0.296,0.2,0.846,-0.1,-0.021,-8.1,-0.3
50,50,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,
51,51,NYK,Thanasis Antetokounmpo,,2,22,6.1,2.8,1.1,0.7,0.519,0,0.412,0.2,0.08,-2.8,0
52,52,PHI,Vasilije Micić,,,,,,,,,,,,,,
53,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,
54,54,PHI,Nemanja Dangubić,,,,,,,,,,,,,,
55,55,MIA,Semaj Christon,Xavier,1,64,15.2,2.9,1.4,2,0.345,0.19,0.548,0.1,0.006,-5.1,-0.8
56,56,DEN,Devyn Marble,Iowa,2,44,10.4,2.2,1.6,0.7,0.304,0.222,0.375,-0.3,-0.028,-5.5,-0.4
57,57,IND,Louis Labeyrie,,,,,,,,,,,,,,
58,58,SAS,Jordan McRae,Tennessee,4,123,13.8,6.9,1.8,1.4,0.417,0.355,0.772,1.7,0.048,-2.1,0
59,59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,
60,60,SAS,Cory Jefferson,Baylor,2,58,10,3.5,2.8,0.3,0.444,0.125,0.583,0.9,0.071,-3.3,-0.2
